,Random,InterleavedRandom,InterleavedNewFirst,InterleavedOldFirst,StochasticLinear,StochasticSquare,StochasticExponential
0,17000.0,17022.0,17028.0,17121.0,50007.0,50009.0,50044.0
1,17000.0,17093.0,17033.0,17011.0,50010.0,50033.0,50044.0
2,17000.0,17006.0,17115.0,17039.0,50024.0,50108.0,50079.0
3,17000.0,17068.0,17046.0,17027.0,50015.0,50069.0,50046.0
4,17000.0,17036.0,17020.0,17030.0,50055.0,50010.0,50025.0
5,17000.0,17070.0,17051.0,17019.0,50044.0,50048.0,50021.0
6,17000.0,17053.0,17029.0,17044.0,50023.0,50008.0,50071.0
7,17000.0,17034.0,17017.0,17006.0,50056.0,50049.0,50062.0
8,17000.0,17027.0,17021.0,17062.0,50052.0,50049.0,50033.0
9,17000.0,17012.0,17023.0,17031.0,50027.0,50020.0,50022.0
10,17000.0,17045.0,17047.0,17024.0,50037.0,50010.0,50056.0
11,17000.0,17028.0,17009.0,17061.0,50041.0,50025.0,50028.0
12,17000.0,17093.0,17025.0,17111.0,50064.0,50023.0,50104.0
13,17000.0,17034.0,17058.0,17005.0,50012.0,50048.0,50069.0
14,17000.0,17098.0,17074.0,17013.0,50060.0,50044.0,50057.0
15,17000.0,17025.0,17089.0,17021.0,50151.0,50009.0,50080.0
16,17000.0,17011.0,17034.0,17032.0,50048.0,50010.0,50012.0
17,17000.0,17014.0,17070.0,17029.0,50278.0,50112.0,50049.0
18,17000.0,17017.0,17005.0,17126.0,50075.0,50071.0,50026.0
19,17000.0,17096.0,17002.0,17041.0,50015.0,50017.0,50009.0
20,17000.0,17065.0,17097.0,17029.0,50148.0,50047.0,50030.0
21,17000.0,17036.0,17118.0,17005.0,50011.0,50024.0,50026.0
22,17000.0,17008.0,17088.0,17062.0,50092.0,50051.0,50081.0
23,17000.0,17058.0,17005.0,17031.0,50045.0,50006.0,50039.0
24,17000.0,17075.0,17060.0,17102.0,50088.0,50118.0,50079.0
25,17000.0,17006.0,17051.0,17174.0,50008.0,50055.0,50013.0
26,17000.0,17015.0,17031.0,17050.0,50027.0,50042.0,50006.0
27,17000.0,17087.0,17087.0,17262.0,50025.0,50013.0,50024.0
28,17000.0,17032.0,17029.0,17032.0,50067.0,50024.0,50016.0
29,17000.0,17040.0,17068.0,17026.0,50075.0,50035.0,50068.0
30,18000.0,18020.0,18023.0,18030.0,50070.0,50027.0,50007.0
31,18000.0,18086.0,18078.0,18078.0,50044.0,50022.0,50024.0
32,18000.0,18005.0,18052.0,18025.0,50023.0,50063.0,50012.0
33,18000.0,18011.0,18007.0,18018.0,50017.0,50053.0,50036.0
34,18000.0,18020.0,18028.0,18015.0,50035.0,50003.0,50051.0
35,18000.0,18040.0,18056.0,18031.0,50050.0,50005.0,50001.0
36,18000.0,18020.0,18034.0,18006.0,50011.0,50002.0,50054.0
37,18000.0,18079.0,18061.0,18009.0,50011.0,50058.0,50016.0
38,18000.0,18014.0,18053.0,18047.0,50031.0,50019.0,50107.0
39,18000.0,18017.0,18004.0,18016.0,50011.0,50015.0,50015.0
40,18000.0,18050.0,18032.0,18016.0,50047.0,50081.0,50044.0
41,18000.0,18008.0,18004.0,18048.0,50012.0,50031.0,50077.0
42,18000.0,18031.0,18027.0,18232.0,50010.0,50021.0,50004.0
43,18000.0,18012.0,18053.0,18006.0,50022.0,50028.0,50004.0
44,18000.0,18055.0,18002.0,18025.0,50052.0,50080.0,50020.0
45,18000.0,18004.0,18084.0,18005.0,50038.0,50062.0,50042.0
46,18000.0,18088.0,18021.0,18009.0,50041.0,50032.0,50048.0
47,18000.0,18061.0,18135.0,18032.0,50013.0,50005.0,50005.0
48,18000.0,18003.0,18006.0,18006.0,50033.0,50023.0,50027.0
49,18000.0,18015.0,18021.0,18008.0,50006.0,50057.0,50035.0
50,18000.0,18038.0,18005.0,18016.0,50008.0,50002.0,50015.0
51,18000.0,18014.0,18011.0,18022.0,50061.0,50023.0,50141.0
52,18000.0,18045.0,18018.0,18028.0,50064.0,50012.0,50017.0
53,18000.0,18012.0,18001.0,18023.0,50006.0,50047.0,50037.0
54,18000.0,18002.0,18022.0,18021.0,50032.0,50029.0,50013.0
55,18000.0,18017.0,18108.0,18039.0,50049.0,50054.0,50078.0
56,18000.0,18010.0,18032.0,18021.0,50169.0,50068.0,50016.0
57,18000.0,18023.0,18031.0,18009.0,50031.0,50041.0,50130.0
58,18000.0,18036.0,18040.0,18034.0,50071.0,50038.0,50030.0
59,18000.0,18097.0,18013.0,18153.0,50147.0,50045.0,50019.0
60,18000.0,18059.0,18023.0,18010.0,50113.0,50037.0,50088.0
61,18000.0,18035.0,18018.0,18018.0,50114.0,50101.0,50127.0
62,18000.0,18157.0,18053.0,18080.0,50044.0,50027.0,50097.0
63,18000.0,18189.0,18016.0,18074.0,50254.0,50150.0,50092.0
64,18000.0,18038.0,18092.0,18029.0,50087.0,50021.0,50032.0
65,18000.0,18037.0,18056.0,18066.0,50050.0,50062.0,50089.0
66,18000.0,18117.0,18313.0,18166.0,50063.0,50215.0,50052.0
67,18000.0,18004.0,18026.0,18017.0,50114.0,50428.0,50077.0
68,18000.0,18091.0,18095.0,18053.0,50259.0,50150.0,50145.0
69,18000.0,18069.0,18001.0,18015.0,50138.0,50044.0,50155.0
70,18000.0,18052.0,18042.0,18251.0,50049.0,50092.0,50179.0
71,18000.0,18122.0,18127.0,18030.0,50023.0,50040.0,50050.0
72,18000.0,18046.0,18133.0,18009.0,50023.0,50076.0,50123.0
73,18000.0,18039.0,18022.0,18065.0,50043.0,50189.0,50011.0
74,18000.0,18229.0,18030.0,18028.0,50012.0,50112.0,50066.0
75,18000.0,18059.0,18140.0,18065.0,50032.0,50083.0,50286.0
76,18000.0,18127.0,18033.0,18018.0,50007.0,50104.0,50280.0
77,18000.0,18049.0,18045.0,18021.0,50050.0,50189.0,50029.0
78,18000.0,18003.0,18155.0,18044.0,50024.0,50060.0,50016.0
79,18000.0,18175.0,18092.0,18202.0,50069.0,50030.0,50046.0
80,18000.0,18037.0,18103.0,18141.0,50071.0,50127.0,50135.0
81,18000.0,18025.0,18043.0,18024.0,50041.0,50157.0,50064.0
82,18000.0,18047.0,18002.0,18041.0,50055.0,50077.0,50015.0
83,18000.0,18037.0,18086.0,18044.0,50030.0,50028.0,50037.0
84,18000.0,18069.0,18145.0,18112.0,50132.0,50019.0,50042.0
85,18000.0,18028.0,18029.0,18003.0,50094.0,50018.0,50137.0
86,18000.0,18024.0,18065.0,18054.0,50049.0,50022.0,50061.0
87,18000.0,18028.0,18129.0,18020.0,50113.0,50049.0,50042.0
88,18000.0,18105.0,18039.0,18102.0,50014.0,50058.0,50302.0
